company,funding_date,funding_amount_usd,investor
"Powell, Cole and Hamilton",2016-03-14,598538000,Accel
Ochoa-Beasley,2016-03-14,181946000,Andreessen Horowitz
Payne and Sons,2016-03-14,162808000,SoftBank
Smith Ltd,2016-03-14,569226000,SoftBank
"Ali, Walters and Russo",2016-03-14,156432000,Index Ventures
"Petersen, Williams and Giles",2016-03-14,133327000,Y Combinator
Berry Inc,2016-03-14,823414000,Y Combinator
Martin Ltd,2016-03-14,4148362000,Y Combinator
Robbins and Sons,2016-03-14,273156000,Tiger Global
Alvarez Group,2016-03-14,1648183000,SoftBank
Vazquez-Thompson,2016-03-14,1928693000,Y Combinator
Armstrong-Schwartz,2016-03-14,189527000,Y Combinator
"Moreno, Edwards and Sanchez",2016-03-14,135314000,Tiger Global
"Jones, Black and Ryan",2016-03-13,223296000,Sequoia
Park-Johnson,2016-03-13,680133000,Index Ventures
Garza-Archer,2016-03-13,743185000,Index Ventures
"Herrera, Kent and Zimmerman",2016-03-13,2377299000,Tiger Global
Adams-Edwards,2016-03-13,592180000,Sequoia
Preston-Morris,2016-03-13,293661000,Sequoia
Cabrera PLC,2016-03-13,471072000,Y Combinator
Valencia Group,2016-03-13,139369000,SoftBank
Francis Group,2016-03-13,723125000,Sequoia
Wall-Marks,2016-03-13,6651687000,Accel
"Brady, George and Blackburn",2016-03-13,1322234000,Sequoia
"Solis, Harrington and Serrano",2016-03-13,197417000,Tiger Global
Rose Inc,2016-03-13,235821000,Index Ventures
Young-Parks,2016-03-13,307706000,Sequoia
"Blackburn, Franco and Morris",2016-03-12,3307133000,Index Ventures
"Faulkner, Mueller and Green",2016-03-12,887841000,Index Ventures
"Avila, Pope and Dean",2016-03-12,1650176000,Sequoia
"Jones, Stewart and Johnson",2016-03-12,390771000,Andreessen Horowitz
Cooper Ltd,2016-03-12,660966000,Tiger Global
"Cannon, Dorsey and Caldwell",2016-03-12,757310000,Sequoia
Sims PLC,2016-03-12,429526000,Y Combinator
"Mercado, Murphy and Smith",2016-03-12,449565000,Tiger Global
"Foster, Quinn and Hardy",2016-03-12,226659000,Sequoia
Juarez PLC,2016-03-12,727058000,SoftBank
Rios-Chavez,2016-03-12,4953329000,Y Combinator
Walker Group,2016-03-12,1028661000,Tiger Global
Coleman and Sons,2016-03-12,353089000,Tiger Global
Branch LLC,2016-03-11,303620000,Tiger Global
Sosa PLC,2016-03-11,92924000,Andreessen Horowitz
Fuentes and Sons,2016-03-11,671342000,Andreessen Horowitz
Gonzalez Ltd,2016-03-11,829308000,Sequoia
Brown and Sons,2016-03-11,217311000,Y Combinator
Suarez Inc,2016-03-11,126943000,SoftBank
Chan-Brown,2016-03-11,1406670000,Andreessen Horowitz
Davis-Tapia,2016-03-11,184220000,Tiger Global
Oneill-Williams,2016-03-11,165542000,Y Combinator
Williams-Cummings,2016-03-11,223498000,Index Ventures
"Santos, Berry and Ingram",2016-03-11,778437000,Accel
Hill-Brown,2016-03-11,1960176000,SoftBank
Chandler and Sons,2016-03-10,621586000,Tiger Global
Ali and Sons,2016-03-10,165991000,Y Combinator
"Sweeney, Richardson and Roman",2016-03-10,137653000,SoftBank
"Ayala, Dunn and Phelps",2016-03-10,49703000,Tiger Global
"David, Molina and Romero",2016-03-10,599202000,Tiger Global
Young Ltd,2016-03-10,872671000,Accel
Harris and Sons,2016-03-10,746794000,Tiger Global
"Frey, Collins and Butler",2016-03-10,927518000,Accel
Cook Group,2016-03-10,851536000,Y Combinator
"Adams, White and Carpenter",2016-03-10,217154000,Accel
Daniels-White,2016-03-10,853130000,Accel
Diaz-Ward,2016-03-10,664310000,Index Ventures
White-Martinez,2016-03-09,97194000,Tiger Global
Villarreal Group,2016-03-09,127983000,Tiger Global
Jenkins-Peterson,2016-03-09,903898000,Tiger Global
Garcia-Harris,2016-03-09,790859000,Y Combinator
Hall and Sons,2016-03-09,3866059000,Sequoia
Griffin PLC,2016-03-09,115292000,Y Combinator
"Warren, Murray and Larson",2016-03-09,355067000,Index Ventures
Bradley-Simmons,2016-03-09,1309078000,SoftBank
"Diaz, Hernandez and Russo",2016-03-09,1064934000,Andreessen Horowitz
Brewer-Reed,2016-03-09,977802000,SoftBank
Williams Ltd,2016-03-08,463341000,Accel
Russell-Smith,2016-03-08,676821000,Sequoia
Johnson-Chan,2016-03-08,48214000,SoftBank
Bauer Group,2016-03-08,280915000,Y Combinator
"Hill, French and Hernandez",2016-03-08,245526000,Accel
"Wells, Garcia and Davis",2016-03-08,811999000,Sequoia
Palmer-Jarvis,2016-03-08,1310330000,SoftBank
"Sanchez, Klein and Phillips",2016-03-08,48152000,Tiger Global
Williams-Baker,2016-03-08,64988000,Andreessen Horowitz
Robertson PLC,2016-03-08,506686000,Accel
"Jones, Peterson and Johnson",2016-03-08,159697000,Y Combinator
Morrison PLC,2016-03-08,277483000,Y Combinator
Torres-Doyle,2016-03-08,2392604000,SoftBank
"Brown, Ramirez and Mills",2016-03-07,186508000,Sequoia
Young LLC,2016-03-07,424038000,Y Combinator
Riley Ltd,2016-03-07,472981000,Tiger Global
Perez-Smith,2016-03-07,533129000,Accel
Vincent-Callahan,2016-03-07,1150166000,Andreessen Horowitz
Murray and Sons,2016-03-07,294299000,Sequoia
Bennett-White,2016-03-07,107301000,Y Combinator
Mcdonald Inc,2016-03-07,626152000,SoftBank
Flores Ltd,2016-03-07,167483000,SoftBank
West-Hart,2016-03-07,43496000,Accel
Ramos PLC,2016-03-07,212632000,Sequoia
Rodriguez Inc,2016-03-07,29153000,Sequoia
"Conley, Pena and Vargas",2016-03-07,1538711000,Tiger Global
"Walker, Cervantes and Marsh",2016-03-07,326608000,SoftBank
Lopez PLC,2016-03-07,96296000,Sequoia
Medina-Miller,2016-03-07,374565000,Sequoia
Scott LLC,2016-03-07,598174000,Y Combinator
Martin PLC,2016-03-07,390608000,Tiger Global
Hull-Peck,2016-03-07,445464000,Andreessen Horowitz
Rush and Sons,2016-03-07,227776000,Tiger Global
Evans Group,2016-03-07,372780000,Index Ventures
Davis-Huffman,2016-03-07,830012000,Sequoia
Mueller PLC,2016-03-06,611768000,Accel
Davidson LLC,2016-03-06,714269000,Tiger Global
"Frazier, Smith and Reyes",2016-03-06,555393000,SoftBank
Thompson-Snow,2016-03-06,170931000,Tiger Global
Rivers and Sons,2016-03-06,378360000,Tiger Global
Long Inc,2016-03-06,5483511000,Y Combinator
Wilson and Sons,2016-03-06,1099929000,Tiger Global
"Reed, Glover and Murphy",2016-03-06,1215671000,Andreessen Horowitz
"Smith, Wells and Gutierrez",2016-03-06,2345602000,Sequoia
"Rodriguez, Christian and Garcia",2016-03-06,31326000,SoftBank
Romero PLC,2016-03-06,373365000,SoftBank
Stanley-Mercado,2016-03-06,50442000,Accel
"Mccarthy, Johnston and Mcfarland",2016-03-06,384842000,Tiger Global
Price-Crawford,2016-03-05,878306000,Sequoia
Brown Ltd,2016-03-05,212553000,Accel
"Ramsey, Marsh and Daniels",2016-03-05,36190000,Tiger Global
Nguyen-Henry,2016-03-05,1145612000,Tiger Global
Brown Inc,2016-03-05,111214000,Index Ventures
Adkins Inc,2016-03-05,4795047000,SoftBank
"Rodriguez, Rowe and Clark",2016-03-05,231405000,Accel
Zamora Inc,2016-03-04,2807267000,Andreessen Horowitz
"Rodriguez, Kelly and Fuentes",2016-03-04,811741000,SoftBank
Taylor-Schneider,2016-03-04,807737000,Tiger Global
"Strickland, Sanchez and Allison",2016-03-04,227591000,Index Ventures
Decker Group,2016-03-04,223489000,Y Combinator
"White, Simmons and Grant",2016-03-04,1422667000,Index Ventures
Moore-Jensen,2016-03-04,416414000,Index Ventures
Lin-Simpson,2016-03-04,77251000,SoftBank
Mckenzie-Sanchez,2016-03-04,59060000,SoftBank
Sandoval-Rios,2016-03-04,490789000,Accel
"Stevens, Horn and Myers",2016-03-04,56778000,Accel
Acosta Inc,2016-03-04,107896000,Tiger Global
"Powell, Barrera and Bridges",2016-03-03,1603071000,Y Combinator
Lewis Inc,2016-03-03,450882000,Andreessen Horowitz
Shields-Schneider,2016-03-03,8001991000,Index Ventures
Miller Inc,2016-03-03,974332000,Accel
Miller-Benson,2016-03-03,265504000,Andreessen Horowitz
Martin Group,2016-03-02,98625000,Andreessen Horowitz
Mann-Ayala,2016-03-02,307744000,SoftBank
"Miles, Nicholson and Pham",2016-03-02,900916000,Tiger Global
Gutierrez-Parker,2016-03-02,1183340000,Index Ventures
Bean-Castillo,2016-03-02,63834000,SoftBank
"Dennis, Thompson and Orozco",2016-03-02,492386000,Index Ventures
"Prince, Bryan and Vaughan",2016-03-02,116397000,Tiger Global
Farrell-Harper,2016-03-02,1839197000,Tiger Global
Ray-Weber,2016-03-02,234877000,Tiger Global
Peterson-Tate,2016-03-02,243996000,SoftBank
Porter-Rhodes,2016-03-02,958833000,Accel
Phillips-Carter,2016-03-02,1089356000,SoftBank
"Elliott, Lee and Smith",2016-03-02,661732000,Accel
Green Inc,2016-03-02,357922000,Y Combinator
Evans and Sons,2016-03-02,299765000,SoftBank
Petty-Baker,2016-03-01,151710000,SoftBank
Matthews Inc,2016-03-01,2499157000,Sequoia
"Orr, Allen and Carter",2016-03-01,485588000,Sequoia
"Lawrence, Combs and Grimes",2016-03-01,4845492000,Y Combinator
Norton-King,2016-03-01,147765000,Index Ventures
Ortiz-Santos,2016-03-01,322443000,Index Ventures
White-Olson,2016-03-01,60133000,Index Ventures
Garcia and Sons,2016-03-01,63088000,Index Ventures
Caldwell Group,2016-03-01,1260107000,Andreessen Horowitz
Ware PLC,2016-03-01,689980000,Index Ventures
Adams LLC,2016-03-01,2404163000,Tiger Global
"Gay, Diaz and Alvarez",2016-03-01,468729000,Y Combinator
Garcia and Sons,2016-03-01,258564000,Y Combinator
Peterson-Mccarthy,2016-03-01,122393000,Accel
"Allen, Campos and Russell",2016-03-01,268201000,Y Combinator
"Lucero, Pierce and Riley",2016-03-01,127647000,Tiger Global
Wright Ltd,2016-02-29,4129225000,Accel
Hughes LLC,2016-02-29,82134000,SoftBank
Williams Group,2016-02-29,1364001000,Andreessen Horowitz
Hudson-Sherman,2016-02-29,57786000,Andreessen Horowitz
Rogers Inc,2016-02-29,1330156000,SoftBank
"Garner, Green and Ward",2016-02-29,210904000,Andreessen Horowitz
Powers Inc,2016-02-29,357008000,Accel
White Inc,2016-02-29,63865000,Index Ventures
Escobar PLC,2016-02-29,1289037000,Index Ventures
"Gonzales, Warren and Green",2016-02-29,199088000,Tiger Global
Jackson LLC,2016-02-29,227295000,Sequoia
Valdez-Webster,2016-02-29,113496000,Index Ventures
Johnson-Rodriguez,2016-02-29,1147767000,Y Combinator
Wilson Inc,2016-02-29,223175000,Accel
Wright-Wright,2016-02-28,3221714000,Index Ventures
Walker-Suarez,2016-02-28,1293944000,Tiger Global
Watts-James,2016-02-28,1265940000,Tiger Global
Jackson LLC,2016-02-28,675466000,SoftBank
Fleming PLC,2016-02-28,605810000,SoftBank
Bryant-Cantrell,2016-02-28,673792000,Index Ventures
"Sanders, Mejia and Kelley",2016-02-28,278236000,Tiger Global
Keller LLC,2016-02-28,3878235000,Tiger Global
Cabrera PLC,2016-02-28,493954000,Y Combinator
Wilkinson Ltd,2016-02-28,754599000,Index Ventures
Miller-Gonzalez,2016-02-27,470725000,Tiger Global
Gallagher-Hays,2016-02-27,728869000,Index Ventures
"Smith, Harmon and Scott",2016-02-27,610488000,Index Ventures
Jordan-Simmons,2016-02-27,276971000,Index Ventures
Fritz-Garcia,2016-02-27,650138000,SoftBank
"Moore, Kramer and Munoz",2016-02-27,48218000,Tiger Global
Martinez Group,2016-02-27,554799000,Sequoia
Johnson LLC,2016-02-27,766812000,SoftBank
Ayala LLC,2016-02-27,1843184000,Andreessen Horowitz
Beck LLC,2016-02-27,10046238000,Andreessen Horowitz
Schultz-Schmidt,2016-02-27,227764000,Sequoia
Martinez-Molina,2016-02-27,1075004000,SoftBank
"Baker, Rivas and Meyers",2016-02-27,123705000,Tiger Global
Herrera Group,2016-02-27,570006000,Index Ventures
Beltran-Peters,2016-02-27,144998000,SoftBank
Williams-Jones,2016-02-27,5130359000,Sequoia
Le LLC,2016-02-27,550246000,Accel
"Peters, Wilson and Cole",2016-02-27,351800000,Sequoia
Shields and Sons,2016-02-27,87358000,Tiger Global
Williams Ltd,2016-02-26,281046000,Index Ventures
Smith Inc,2016-02-26,61048000,SoftBank
Jordan-Webb,2016-02-26,207092000,Tiger Global
Palmer-Alexander,2016-02-26,181748000,Y Combinator
Hatfield PLC,2016-02-26,963146000,Tiger Global
"Butler, Lewis and Padilla",2016-02-26,552007000,SoftBank
Jackson-Barnes,2016-02-25,383502000,Y Combinator
Allen and Sons,2016-02-25,465313000,Tiger Global
Chase LLC,2016-02-25,199358000,Andreessen Horowitz
Rivers PLC,2016-02-25,625117000,Accel
Christensen Inc,2016-02-25,170545000,Sequoia
Stafford PLC,2016-02-25,3586584000,Andreessen Horowitz
Lamb Group,2016-02-25,641275000,Tiger Global
Larsen Group,2016-02-25,360382000,SoftBank
"Young, Lewis and Wilson",2016-02-25,360039000,Index Ventures
"Thomas, Henry and Barker",2016-02-25,280513000,SoftBank
Roberts LLC,2016-02-24,1162055000,Sequoia
"Smith, Hensley and Hill",2016-02-24,386828000,Andreessen Horowitz
Boyle LLC,2016-02-24,3266515000,SoftBank
Wolfe Ltd,2016-02-24,552548000,Sequoia
Bishop-Stout,2016-02-24,238441000,Accel
"Sosa, Thompson and Trujillo",2016-02-24,104490000,Sequoia
Munoz and Sons,2016-02-24,306182000,Tiger Global
Smith Ltd,2016-02-24,235135000,Sequoia
"Rivera, Perez and Rosales",2016-02-24,133027000,Accel
"Wilson, Walker and Rivera",2016-02-24,475160000,Tiger Global
"Brown, Harrell and Rhodes",2016-02-24,54241000,Y Combinator
Duffy-Murphy,2016-02-24,4433893000,Sequoia
"Simmons, Smith and Roberts",2016-02-24,720095000,Sequoia
Finley-Adams,2016-02-23,350010000,Accel
Matthews LLC,2016-02-23,1088119000,Y Combinator
Knight-Lewis,2016-02-23,346098000,Accel
Jones-Jones,2016-02-23,73526000,Accel
Wallace-Lindsey,2016-02-23,624671000,Tiger Global
Howard Ltd,2016-02-23,698594000,Accel
"Bryant, Fernandez and Roberts",2016-02-23,57791000,SoftBank
Valencia-Campbell,2016-02-23,1602108000,Tiger Global
Jimenez-Myers,2016-02-23,934464000,SoftBank
Villegas-Blake,2016-02-23,37584000,Y Combinator
James-Thomas,2016-02-23,587339000,Andreessen Horowitz
Gates-Moore,2016-02-23,27492000,Tiger Global
Washington-Campos,2016-02-23,1282308000,Sequoia
Terry Group,2016-02-23,89826000,Sequoia
"Anderson, Larson and Banks",2016-02-23,1314918000,Y Combinator
Hinton-Pratt,2016-02-23,820361000,Accel
King-Green,2016-02-23,367296000,Tiger Global
"Caldwell, Cannon and Rogers",2016-02-22,251572000,Y Combinator
Frank-Castillo,2016-02-22,316511000,Sequoia
Miller-Mcgee,2016-02-22,346938000,SoftBank
Schneider LLC,2016-02-22,664079000,Andreessen Horowitz
Walsh Ltd,2016-02-22,489146000,Sequoia
Chung Ltd,2016-02-22,148434000,Index Ventures
"Wood, Orozco and Arroyo",2016-02-22,5811640000,Tiger Global
"Vega, Ross and Powell",2016-02-22,267512000,Index Ventures
Johnson-Nelson,2016-02-22,4424105000,SoftBank
Hughes LLC,2016-02-22,160710000,Tiger Global
"Wright, Brown and Golden",2016-02-22,335561000,Tiger Global
"Hardin, Klein and Horton",2016-02-22,4608516000,Sequoia
Weiss-Jones,2016-02-22,179814000,Sequoia
Adams-Barron,2016-02-22,338463000,Y Combinator
Smith PLC,2016-02-21,1673615000,Index Ventures
"Combs, Adams and Palmer",2016-02-21,450589000,Accel
Randall Group,2016-02-21,4320145000,Tiger Global
Arnold-Martinez,2016-02-21,280077000,Index Ventures
"Montgomery, Parker and Morrison",2016-02-21,1423981000,Andreessen Horowitz
"Brown, Grant and Browning",2016-02-21,250733000,Tiger Global
Taylor Group,2016-02-21,58119000,Index Ventures
Ortiz-Mitchell,2016-02-21,454085000,Index Ventures
Garcia-Graves,2016-02-21,80150000,Accel
"Snyder, Taylor and Murphy",2016-02-21,383543000,Accel
"Smith, Graham and Black",2016-02-21,151417000,SoftBank
Wilson PLC,2016-02-21,1538221000,Sequoia
Cox LLC,2016-02-21,260179000,Sequoia
Downs-Martin,2016-02-21,475820000,Y Combinator
"Price, Humphrey and Archer",2016-02-21,3445598000,Andreessen Horowitz
Gibson Group,2016-02-21,63822000,Sequoia
"Carter, Mcfarland and Cuevas",2016-02-21,1145879000,Y Combinator
Thomas Ltd,2016-02-21,4134990000,Tiger Global
Higgins-Collins,2016-02-21,340915000,Andreessen Horowitz
Montgomery PLC,2016-02-20,277917000,Y Combinator
Porter-Nguyen,2016-02-20,394440000,Sequoia
"Shields, Hernandez and Alexander",2016-02-20,4968958000,Y Combinator
Moore LLC,2016-02-20,800842000,Accel
Moore and Sons,2016-02-20,1115845000,Y Combinator
Franklin-Brennan,2016-02-20,216018000,SoftBank
"Thompson, Hall and Matthews",2016-02-20,332207000,SoftBank
Washington-Carr,2016-02-20,188955000,Accel
King-Wright,2016-02-20,421913000,Andreessen Horowitz
Price-Wolfe,2016-02-20,1052560000,Sequoia
Garcia LLC,2016-02-19,829718000,Y Combinator
"Molina, White and Weaver",2016-02-19,476108000,SoftBank
"Warner, Davidson and Russell",2016-02-19,801710000,Tiger Global
Ramirez and Sons,2016-02-19,198117000,Y Combinator
"Whitney, Nelson and Reynolds",2016-02-19,470453000,Andreessen Horowitz
Cox-Holland,2016-02-19,290566000,Andreessen Horowitz
Gregory-Bolton,2016-02-19,74468000,Index Ventures
"Martin, Cabrera and Mullins",2016-02-19,188494000,Index Ventures
Smith-Tran,2016-02-19,1417270000,Y Combinator
Rocha-Sims,2016-02-19,2697176000,Index Ventures
Brown LLC,2016-02-19,765452000,Accel
"Carrillo, Villarreal and Tapia",2016-02-19,2668295000,Y Combinator
Dunlap-Cortez,2016-02-19,784554000,Andreessen Horowitz
Zamora Inc,2016-02-19,613775000,SoftBank
Franco-Martin,2016-02-19,363906000,Andreessen Horowitz
Payne-Nichols,2016-02-18,1489345000,Andreessen Horowitz
"Young, Nunez and Blankenship",2016-02-18,562358000,Y Combinator
Smith-Avery,2016-02-18,556455000,Index Ventures
Ponce-Mcdonald,2016-02-18,135144000,Sequoia
Small-Cain,2016-02-18,1345425000,Andreessen Horowitz
"Davidson, Petersen and Garcia",2016-02-18,850003000,SoftBank
"Levy, Moore and Whitaker",2016-02-18,119253000,Andreessen Horowitz
"Turner, Adams and Kirk",2016-02-18,830620000,Sequoia
Garcia Ltd,2016-02-18,232373000,Y Combinator
Clarke-Kelly,2016-02-18,216385000,Y Combinator
"Schneider, Price and Clayton",2016-02-18,411577000,Accel
Newman Ltd,2016-02-18,585922000,Y Combinator
Williams Inc,2016-02-18,1889195000,Andreessen Horowitz
Brown-Strickland,2016-02-18,667089000,SoftBank
Nelson Group,2016-02-18,2000612000,Y Combinator
Gutierrez PLC,2016-02-18,1153633000,Andreessen Horowitz
"Gordon, Clark and Mcmillan",2016-02-17,2788440000,Y Combinator
"Meadows, Turner and Gill",2016-02-17,1101763000,Y Combinator
"Perez, Aguirre and Duran",2016-02-17,211503000,SoftBank
Harris and Sons,2016-02-17,531404000,Accel
Dyer-Hurst,2016-02-17,2887073000,Tiger Global
"Ferguson, Kemp and Moore",2016-02-17,787408000,Accel
"Dickerson, Anderson and Hamilton",2016-02-17,2148824000,SoftBank
Sparks Inc,2016-02-17,1162825000,SoftBank
Torres-Reid,2016-02-17,1778108000,SoftBank
Doyle-Marshall,2016-02-17,48841000,Y Combinator
Garner Ltd,2016-02-17,192150000,Accel
"Owens, Becker and Brown",2016-02-17,186118000,SoftBank
"Crosby, Smith and Richardson",2016-02-17,237471000,Andreessen Horowitz
"Bennett, Wright and Johnson",2016-02-16,92603000,Andreessen Horowitz
Roberson-Chandler,2016-02-16,1195681000,Andreessen Horowitz
"Alexander, Cox and Garrison",2016-02-16,2843325000,Accel
Flores PLC,2016-02-16,771033000,Index Ventures
"Eaton, Clark and Hodge",2016-02-16,28685000,Andreessen Horowitz
Diaz-James,2016-02-16,509866000,Index Ventures
Allen PLC,2016-02-16,223532000,Andreessen Horowitz
Lopez PLC,2016-02-16,223328000,Accel
"Ferguson, Griffin and Mullen",2016-02-16,653619000,Sequoia
Kelley-Anderson,2016-02-16,3322024000,Andreessen Horowitz
Jacobson Ltd,2016-02-16,168966000,Andreessen Horowitz
Cross-Warner,2016-02-15,104465000,Andreessen Horowitz
Anderson PLC,2016-02-15,484683000,Andreessen Horowitz
Green-Jackson,2016-02-15,1058637000,Tiger Global
"Stark, Schmitt and Maddox",2016-02-15,686097000,SoftBank
Tran-Murray,2016-02-15,163656000,Andreessen Horowitz
Hunter-Salas,2016-02-15,171686000,SoftBank
Gonzales Inc,2016-02-15,418333000,Tiger Global
"Mills, Taylor and Anderson",2016-02-15,1153825000,Tiger Global
Scott-Morales,2016-02-15,154513000,Y Combinator
Jordan PLC,2016-02-15,391841000,Andreessen Horowitz
"Johnson, Benson and Farrell",2016-02-15,349168000,Index Ventures
"Chang, Lucas and Anderson",2016-02-15,308227000,Tiger Global
Anderson Group,2016-02-15,858529000,Accel
Ellis-Huynh,2016-02-15,219783000,Index Ventures
Weber Ltd,2016-02-15,2090950000,Andreessen Horowitz
Lamb-Wallace,2016-02-15,3639363000,Y Combinator
Olsen-Glenn,2016-02-15,374748000,SoftBank
Gonzalez-Davis,2016-02-15,606793000,Index Ventures
Cook-Flores,2016-02-14,1130696000,Accel
Robinson-Wade,2016-02-14,252212000,Andreessen Horowitz
Zamora LLC,2016-02-14,15231000,Sequoia
"Soto, Ward and Scott",2016-02-14,703553000,Tiger Global
"Deleon, Jackson and Figueroa",2016-02-14,1781210000,Index Ventures
Zhang PLC,2016-02-14,420747000,Index Ventures
Robbins Inc,2016-02-14,361422000,Y Combinator
Schultz-Bishop,2016-02-14,1939487000,Index Ventures
Rosales-Sheppard,2016-02-14,1686526000,SoftBank
Moore and Sons,2016-02-14,429446000,Sequoia
May-Robinson,2016-02-14,235357000,Accel
Hebert and Sons,2016-02-14,251090000,Tiger Global
Wells and Sons,2016-02-14,220042000,Index Ventures
Parker-Parks,2016-02-14,791352000,SoftBank
Rodriguez Ltd,2016-02-14,127925000,Y Combinator
"Glass, Carter and Ray",2016-02-14,809299000,Andreessen Horowitz
Calderon Ltd,2016-02-13,1026941000,Accel
Cook-Anderson,2016-02-13,49601000,Index Ventures
Garza Group,2016-02-13,1305426000,Sequoia
Leonard-Valdez,2016-02-13,401493000,Accel
Hall-Coffey,2016-02-13,493948000,Sequoia
Morales-Morgan,2016-02-13,2644158000,Y Combinator
Osborne-Pineda,2016-02-13,701799000,Accel
Davis-Taylor,2016-02-13,424545000,SoftBank
"Blankenship, Phillips and Bradshaw",2016-02-13,1022447000,Tiger Global
"Daniels, Morales and Perkins",2016-02-13,3760050000,Sequoia
"Ortiz, Waller and Williams",2016-02-13,10528000,Index Ventures
Ortiz-Fry,2016-02-13,254589000,Sequoia
Villegas and Sons,2016-02-12,538449000,SoftBank
"Harris, Patel and Morales",2016-02-12,93984000,Sequoia
Johnson and Sons,2016-02-12,268044000,Tiger Global
Hernandez LLC,2016-02-12,1414285000,Accel
"Moore, Watkins and Hanson",2016-02-12,1687189000,Andreessen Horowitz
Johnston-Huffman,2016-02-12,194158000,Sequoia
"Alexander, Thornton and Rogers",2016-02-12,870076000,Index Ventures
Bridges LLC,2016-02-12,123127000,Y Combinator
"Rivas, Charles and Nguyen",2016-02-12,94767000,Y Combinator
Norman-Harris,2016-02-12,507870000,Index Ventures
Johnson-Williams,2016-02-12,432577000,Sequoia
"Walker, Garza and Smith",2016-02-12,1725637000,Accel
"Carter, Lee and Gregory",2016-02-12,308484000,Tiger Global
"Phillips, Mathis and Stafford",2016-02-11,645453000,Tiger Global
"Pitts, Romero and Porter",2016-02-11,269619000,Andreessen Horowitz
Pugh-Mason,2016-02-11,3545484000,Index Ventures
"Preston, Dunlap and Walton",2016-02-11,433850000,Andreessen Horowitz
"Johnson, Palmer and Figueroa",2016-02-11,132214000,Sequoia
"Smith, Soto and Williams",2016-02-11,640293000,Tiger Global
"French, Morse and Howard",2016-02-11,133179000,Y Combinator
Griffin PLC,2016-02-11,103766000,Tiger Global
Silva LLC,2016-02-11,2099905000,Tiger Global
"Casey, Phillips and Hawkins",2016-02-11,469981000,Sequoia
Humphrey-Montes,2016-02-11,536983000,Index Ventures
King PLC,2016-02-11,938142000,Y Combinator
Richards PLC,2016-02-11,7280135000,Sequoia
Wright PLC,2016-02-11,246290000,Y Combinator
Lewis-Adams,2016-02-11,1345948000,Sequoia
Hines PLC,2016-02-10,189677000,Andreessen Horowitz
Owens-Dunn,2016-02-10,65941000,Index Ventures
Ellison Ltd,2016-02-10,203649000,Andreessen Horowitz
Carpenter PLC,2016-02-10,403860000,SoftBank
"Bennett, Rubio and Smith",2016-02-10,293490000,Tiger Global
"Fowler, Wilson and Welch",2016-02-10,234537000,Sequoia
"Mccarthy, Smith and Williams",2016-02-10,1505305000,Andreessen Horowitz
Mata Group,2016-02-10,422067000,Index Ventures
Shields Ltd,2016-02-10,2838029000,Tiger Global
"Roberts, Lucero and Parrish",2016-02-10,941177000,Y Combinator
"Reed, Brown and Wade",2016-02-10,1980807000,Sequoia
Tran-Carson,2016-02-10,225490000,Tiger Global
"Oliver, Mccullough and Robinson",2016-02-10,874688000,Tiger Global
Hendricks PLC,2016-02-10,112088000,Andreessen Horowitz
"Perry, Taylor and Anderson",2016-02-10,594486000,Y Combinator
"Villarreal, Dunn and Rosario",2016-02-10,318855000,Andreessen Horowitz
"Olson, Kaufman and Small",2016-02-10,203106000,Y Combinator
Bradley Group,2016-02-10,286332000,Sequoia
"Carson, Miller and Glenn",2016-02-10,782850000,Sequoia
Beasley Inc,2016-02-09,812798000,Andreessen Horowitz
Moss-Roberts,2016-02-09,173797000,Y Combinator
Washington-Thompson,2016-02-09,53533000,Index Ventures
"Davis, Foster and Huffman",2016-02-09,1040923000,Accel
Allen Inc,2016-02-09,2653092000,Index Ventures
Wood and Sons,2016-02-09,258426000,Tiger Global
"Brown, Mayer and Bradshaw",2016-02-09,1092821000,Y Combinator
Scott Inc,2016-02-09,839485000,Tiger Global
Lucas-Valdez,2016-02-09,236192000,Andreessen Horowitz
Smith-Jones,2016-02-09,318686000,SoftBank
Mcdaniel-Evans,2016-02-09,506089000,Tiger Global
"Barajas, Garcia and Cook",2016-02-08,196298000,Y Combinator
"Porter, Moss and Adams",2016-02-08,163336000,Index Ventures
"Baxter, Mcgee and Wilkerson",2016-02-08,1992359000,Y Combinator
Hicks Group,2016-02-08,217243000,Accel
Potter LLC,2016-02-08,537400000,Andreessen Horowitz
"Miranda, Smith and Clark",2016-02-08,406367000,Tiger Global
"Green, Herrera and Williams",2016-02-08,3267335000,Sequoia
"Soto, Turner and King",2016-02-08,572939000,Index Ventures
Moore PLC,2016-02-08,131627000,Andreessen Horowitz
Johnson LLC,2016-02-08,243046000,Sequoia
Kelley-Walker,2016-02-08,4307695000,Andreessen Horowitz
Martinez PLC,2016-02-08,435478000,SoftBank
"Keller, Smith and Dunlap",2016-02-08,349012000,Accel
Holmes Group,2016-02-07,1933907000,Y Combinator
"Williams, Bryan and Brown",2016-02-07,1081735000,Andreessen Horowitz
Guerra PLC,2016-02-07,497693000,SoftBank
Bell LLC,2016-02-07,440657000,Y Combinator
Mccarthy-Johnson,2016-02-07,118867000,Tiger Global
Shepherd-Rose,2016-02-07,1128248000,SoftBank
Rose-Hubbard,2016-02-07,4066840000,Index Ventures
"Owen, Marshall and Baker",2016-02-07,301664000,Tiger Global
